prj,clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
io1_l2n1n1_l5n1n1_l8n1n1,8.419,56,5,906,1586,32,13,28,13,16.026,830,830,0,0,671,28,0,5
io1_l2n1n1_l5n1n1_l8n1p1,8.419,56,5,977,1756,34,16,30,16,17.047,969,969,0,0,747,28,0,5
io1_l2n1n1_l5n1n1_l8p1n1,9.229,56,10,7754,10691,177,138,49,138,29.105,3756,3156,0,600,5660,28,0,10
io1_l2n1p1_l5n1p1_l8n1n1,8.419,56,5,1048,1926,36,19,32,19,20.343,1142,1142,0,0,823,28,0,5
io1_l2n1p1_l5n1p1_l8n1p1,8.419,56,5,1119,2096,38,22,34,22,20.395,1294,1294,0,0,899,28,0,5
io1_l2n1p1_l5n1p1_l8p1n1,9.229,56,10,7896,11027,181,144,53,144,33.914,4010,3410,0,600,5811,28,0,10
io1_l2p1n1_l5p1n1_l8n1n1,8.905,56,10,8871,17807,322,263,68,263,70.692,5655,4455,0,1200,8119,28,0,10
io1_l2p1n1_l5p1n1_l8n1p1,8.905,56,10,8942,17977,324,266,70,266,74.229,5867,4667,0,1200,8178,28,0,10
io1_l2p1n1_l5p1n1_l8p1n1,8.999,56,10,10052,24931,467,388,87,388,118.926,8139,6339,0,1800,10714,28,0,10
io2_l2n1n1_l5n1n1_l8n1n1,8.419,56,5,936,2038,32,13,28,13,17.215,961,961,0,0,795,28,0,5
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,8.572,56,5,1006,3095,33,49,29,49,17.685,1321,1321,0,0,804,28,0,5
io2_l2n1n1_l5n1n1_l8n1n2,8.419,56,8,1194,2215,34,14,29,14,18.354,1059,1059,0,0,989,24,0,8
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,8.572,56,8,1257,3189,35,42,30,42,18.676,1372,1372,0,0,996,28,0,8
io2_l2n1n1_l5n1n1_l8n1p1,8.419,56,5,1002,2230,34,17,30,17,17.519,1101,1101,0,0,865,28,0,5
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,8.572,56,5,1128,3333,35,61,31,61,18.261,1476,1476,0,0,960,28,0,5
io2_l2n1n1_l5n1n1_l8n1p2,8.419,56,5,1129,2301,37,18,31,18,16.67,1182,1182,0,0,990,24,0,5
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,8.572,56,5,1269,3297,37,53,31,53,17.89,1557,1557,0,0,1075,28,0,5
io2_l2n1n1_l5n1n1_l8p1n1,9.32,56,8,3103,7472,177,74,48,74,23.777,2306,2306,0,0,2696,24,0,8
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,9.451,56,14,9519,13892,169,103,42,103,42.795,6796,6796,0,0,9043,28,0,14
io2_l2n1n1_l5n1n1_l8p2n1,9.229,56,20,15116,11521,305,74,53,74,43.554,7121,5929,0,1192,11852,28,0,20
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,9.359,56,40,19568,18042,297,98,53,98,54.319,10640,8999,0,1641,14950,24,0,40
io2_l2n1n2_l5n1n2_l8n1n1,8.55,56,8,1260,2266,36,15,29,15,21.193,1128,1128,0,0,913,28,0,8
io2_l2n1n2_l5n1n2_l8n1n1_d1d2,8.999,56,8,1316,3157,37,35,30,35,20.382,1373,1373,0,0,1048,28,0,8
io2_l2n1n2_l5n1n2_l8n1n2,8.562,56,8,1326,2299,38,16,29,16,22.242,1154,1154,0,0,972,28,0,8
io2_l2n1n2_l5n1n2_l8n1n2_d1d2,9.011,56,8,1375,3107,39,28,30,28,19.958,1340,1340,0,0,1107,28,0,8
io2_l2n1n2_l5n1n2_l8n1p1,8.55,56,8,1326,2458,38,19,31,19,22.032,1263,1263,0,0,985,28,0,8
io2_l2n1n2_l5n1n2_l8n1p1_d1d2,8.999,56,8,1438,3395,39,47,32,47,21.021,1542,1542,0,0,1223,28,0,8
io2_l2n1n2_l5n1n2_l8n1p2,8.562,56,8,1421,2514,41,20,32,20,23.08,1343,1343,0,0,1079,28,0,8
io2_l2n1n2_l5n1n2_l8n1p2_d1d2,9.011,56,8,1547,3344,41,39,32,39,21.58,1524,1524,0,0,1289,28,0,8
io2_l2n1n2_l5n1n2_l8p1n1,9.32,56,8,3235,7547,181,76,48,76,27.453,2288,2288,0,0,2682,28,0,8
io2_l2n1n2_l5n1n2_l8p1n1_d1d2,9.474,56,14,9637,13787,173,89,42,89,41.72,6684,6684,0,0,9141,28,0,14
io2_l2n1n2_l5n1n2_l8p2n1,9.229,56,20,15248,11599,309,76,53,76,45.678,7625,6433,0,1192,11879,24,0,20
io2_l2n1n2_l5n1n2_l8p2n1_d1d2,9.382,56,40,19686,17937,301,84,53,84,57.215,10778,9137,0,1641,15135,22,0,40
io2_l2n1p1_l5n1p1_l8n1n1,8.419,56,5,1068,2422,36,21,32,21,21.1,1264,1264,0,0,937,28,0,5
io2_l2n1p1_l5n1p1_l8n1n1_d1d2,8.572,56,5,1250,3571,37,73,33,73,21.101,1699,1699,0,0,1124,28,0,5
io2_l2n1p1_l5n1p1_l8n1n2,8.419,56,8,1326,2599,38,22,33,22,22.119,1395,1395,0,0,1123,24,0,8
io2_l2n1p1_l5n1p1_l8n1n2_d1d2,8.572,56,8,1501,3665,39,66,34,66,22.328,1729,1729,0,0,1242,28,0,8
io2_l2n1p1_l5n1p1_l8n1p1,8.419,56,5,1134,2614,38,25,34,25,20.847,1388,1388,0,0,1002,28,0,5
io2_l2n1p1_l5n1p1_l8n1p1_d1d2,8.419,56,5,1372,3809,39,85,35,85,21.67,1791,1791,0,0,1179,28,0,5
io2_l2n1p1_l5n1p1_l8n1p2,8.419,56,5,1261,2685,41,26,35,26,21.515,1516,1516,0,0,1128,24,0,5
io2_l2n1p1_l5n1p1_l8n1p2_d1d2,8.419,56,5,1513,3773,41,77,35,77,21.81,1885,1885,0,0,1321,28,0,5
io2_l2n1p1_l5n1p1_l8p1n1,9.32,56,8,3235,7848,181,82,52,82,27.923,2598,2598,0,0,2804,24,0,8
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,9.451,56,14,9733,14352,173,127,46,127,41.589,7121,7121,0,0,9266,28,0,14
io2_l2n1p1_l5n1p1_l8p2n1,9.229,56,20,15248,11897,309,82,57,82,49.613,7793,6601,0,1192,11985,28,0,20
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,9.206,56,40,19775,18502,301,122,57,122,57.35,11053,9412,0,1641,15259,24,0,40
io2_l2n1p2_l5n1p2_l8n1n1,8.847,56,5,1258,2543,42,23,34,23,22.889,1326,1326,0,0,993,28,0,5
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,8.999,56,5,1468,3478,41,57,33,57,20.726,1688,1688,0,0,1276,28,0,5
io2_l2n1p2_l5n1p2_l8n1n2,8.847,56,8,1484,2705,44,24,35,24,23.978,1445,1445,0,0,1149,28,0,8
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,9.011,56,8,1687,3557,43,50,34,50,23.018,1652,1652,0,0,1470,28,0,8
io2_l2n1p2_l5n1p2_l8n1p1,8.847,56,5,1324,2735,44,27,36,27,22.371,1526,1526,0,0,1064,28,0,5
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,8.847,56,5,1590,3716,43,69,35,69,22.121,1856,1856,0,0,1398,28,0,5
io2_l2n1p2_l5n1p2_l8n1p2,8.858,56,5,1387,2783,47,28,37,28,24.071,1563,1563,0,0,1126,28,0,5
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,8.858,56,5,1667,3657,45,61,35,61,21.504,1869,1869,0,0,1477,28,0,5
io2_l2n1p2_l5n1p2_l8p1n1,9.025,56,8,3361,7938,187,84,54,84,29.77,2612,2612,0,0,2821,28,0,8
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,9.474,56,14,9903,14228,177,111,46,111,44.389,7256,7256,0,0,9508,28,0,14
io2_l2n1p2_l5n1p2_l8p2n1,9.251,56,20,15374,11992,315,84,59,84,48.852,7687,6495,0,1192,11967,24,0,20
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,9.229,56,40,19931,18382,305,106,57,106,60.329,11130,9489,0,1641,15325,22,0,40
io2_l2p1n1_l5p1n1_l8n1n1,9.069,56,8,5109,12523,322,135,67,135,35.449,3648,3648,0,0,4475,28,0,8
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,9.245,56,14,16688,23808,305,157,52,157,60.214,11538,11538,0,0,16035,28,0,14
