clk_estimated(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48 Blocks
8.419,32,5,727,1231,22,10,19,10,12.65,630,630,0,0,512,16,0,5
8.419,32,5,856,1352,23,10,20,10,13.199,675,666,0,9,543,16,0,5
9.298,32,5,4579,3927,146,72,17,72,22.668,4148,4148,0,0,4204,16,0,5
8.419,32,5,814,1408,24,13,21,13,16.436,803,803,0,0,611,16,0,5
8.419,32,5,943,1515,25,13,22,13,16.994,835,826,0,9,631,16,0,5
9.298,32,5,4634,4087,148,75,19,75,28.18,4001,4001,0,0,4256,16,0,5
8.835,32,16,7977,11121,209,198,21,198,79.342,3591,2991,0,600,5823,16,0,16
8.835,32,16,8106,11236,210,198,22,198,88.843,3666,3057,0,609,5841,16,0,16
8.999,32,16,11630,13783,333,260,19,260,99.872,6510,5910,0,600,9628,16,0,16
8.419,32,5,747,1546,23,12,20,12,12.788,700,700,0,0,616,16,0,5
8.572,32,5,792,2151,24,29,21,29,13.127,931,931,0,0,624,16,0,5
8.419,32,10,1165,1837,25,12,22,12,15.937,1026,1026,0,0,844,16,0,10
8.572,32,5,839,2117,26,24,21,24,14,949,949,0,0,672,16,0,5
8.419,32,5,796,1629,24,12,21,12,13.156,770,770,0,0,647,16,0,5
8.572,32,5,853,2246,25,29,22,29,13.406,929,929,0,0,670,16,0,5
8.419,32,10,1357,1992,26,12,23,12,17.001,1024,1015,0,9,880,16,0,10
8.572,32,10,1591,2701,27,24,24,24,17.029,1232,1223,0,9,949,16,0,10
9.229,32,10,5337,4006,147,42,20,42,25.767,3867,3867,0,0,4759,16,0,10
9.428,32,18,5276,6202,148,54,24,54,31.271,4526,4526,0,0,4294,16,0,18
9.298,32,10,8758,6099,275,74,20,74,33.909,6734,6734,0,0,7993,16,0,10
9.229,32,20,10221,6459,276,54,25,54,37.159,6606,6606,0,0,9095,16,0,20
8.419,32,8,999,1684,26,12,21,12,15.405,792,792,0,0,675,16,0,8
8.572,32,8,1042,2275,27,22,22,22,16.11,953,953,0,0,848,16,0,8
8.419,32,10,1257,1852,28,12,22,12,17.479,1045,1045,0,0,839,16,0,10
8.572,32,8,1089,2241,29,17,22,17,16.368,997,997,0,0,861,16,0,8
8.419,32,8,1048,1767,27,12,22,12,15.616,856,856,0,0,706,16,0,8
8.572,32,8,1103,2370,28,22,23,22,16.578,989,989,0,0,850,16,0,8
8.419,32,10,1449,2007,29,12,23,12,17.998,1059,1050,0,9,875,16,0,10
8.572,32,10,1681,2702,30,17,24,17,19.455,1226,1217,0,9,1077,16,0,10
9.229,32,10,5397,3997,150,42,20,42,29.224,4117,4117,0,0,4728,16,0,10
9.206,32,18,5334,6181,151,47,24,47,34.024,4594,4594,0,0,4371,16,0,18
9.298,32,10,8818,6090,278,74,20,74,36.59,6663,6663,0,0,8089,16,0,10
9.382,32,20,10279,6436,279,47,25,47,38.954,6546,6546,0,0,9178,16,0,20
8.419,32,5,851,1745,25,16,22,16,17.424,840,840,0,0,729,16,0,5
8.572,32,5,899,2381,26,41,23,41,17.314,1099,1099,0,0,741,16,0,5
8.419,32,10,1269,2036,27,16,24,16,21.157,1191,1191,0,0,953,16,0,10
8.419,32,5,946,2347,28,36,23,36,17.862,1132,1132,0,0,787,16,0,5
8.419,32,5,900,1826,26,16,23,16,17.859,950,950,0,0,761,16,0,5
8.572,32,5,960,2472,27,41,24,41,18.095,1167,1167,0,0,771,16,0,5
8.419,32,10,1461,2177,28,16,25,16,22.191,1186,1177,0,9,989,16,0,10
8.419,32,10,1698,2916,29,36,26,36,21.737,1400,1391,0,9,1062,16,0,10
9.229,32,10,5409,4186,149,46,22,46,32.141,3949,3949,0,0,4890,16,0,10
9.206,32,18,5368,6424,150,66,26,66,36.448,4613,4613,0,0,4362,16,0,18
9.298,32,10,8830,6279,277,78,22,78,38.756,6827,6827,0,0,8092,16,0,10
9.229,32,20,10313,6681,278,66,27,66,41.228,6293,6293,0,0,9222,16,0,20
8.847,32,5,945,1718,28,16,22,16,16.731,884,884,0,0,699,16,0,5
8.847,32,5,1040,2351,29,33,23,33,17.379,1139,1139,0,0,915,16,0,5
8.847,32,10,1363,2009,30,16,24,16,20.334,1197,1197,0,0,986,16,0,10
8.858,32,5,1087,2316,31,28,23,28,17.68,1227,1227,0,0,999,16,0,5
8.847,32,5,994,1799,29,16,23,16,17.46,977,977,0,0,728,16,0,5
8.847,32,5,1101,2442,30,33,24,33,17.416,1231,1231,0,0,980,16,0,5
8.847,32,10,1555,2164,31,16,25,16,20.701,1211,1202,0,9,963,16,0,10
8.847,32,10,1839,2901,32,28,26,28,22.178,1459,1450,0,9,1278,16,0,10
9.251,32,10,5471,4153,152,46,22,46,30.575,4167,4167,0,0,4772,16,0,10
9.229,32,18,5446,6377,153,58,26,58,34.535,4627,4627,0,0,4427,16,0,18
9.321,32,10,8892,6246,280,78,22,78,37.872,6905,6905,0,0,8035,16,0,10
9.251,32,20,10391,6630,281,58,27,58,41.221,6208,6208,0,0,9226,12,0,20
9.263,32,152,11292,13451,210,104,67,104,90.03,6161,6161,0,0,6395,16,0,152
9.058,32,176,17212,20389,211,114,76,114,112.349,10215,10215,0,0,14390,16,0,176
9.263,32,154,11550,13587,212,104,68,104,91.392,6323,6323,0,0,6607,16,0,154
9.451,32,176,17259,20353,213,109,76,109,110.888,10279,10279,0,0,11633,16,0,176
9.263,32,152,11302,13510,211,104,68,104,91.121,6208,6208,0,0,6414,16,0,152
9.058,32,176,17273,20482,212,114,77,114,110.748,10258,10258,0,0,11574,16,0,176
